id_num,county_desc,race,ethnicity,gender,age,voter_city,voter_state,voter_zip,voter_party_code,precinct_desc,ballot_req_type,ballot_request_party,ballot_req_dt,ballot_send_dt,ballot_rtn_dt,ballot_rtn_status
453079,WAKE,WHITE,NOT HISPANIC or NOT LATINO,M,24,CARY,NC,27513.0,REP,PRECINCT 04-20,MAIL,REP,8/25/24,9/24/24,11/2/24,ACCEPTED
295575,MOORE,WHITE,NOT HISPANIC or NOT LATINO,F,33,SOUTHERN PINES,NC,28387.0,REP,PINEDENE,MAIL,REP,10/26/24,10/28/24,11/5/24,ACCEPTED
361277,SAMPSON,BLACK or AFRICAN AMERICAN,NOT HISPANIC or NOT LATINO,F,75,CLINTON,NC,28328.0,DEM,"CLINTON, NORTHEAST",MAIL,DEM,10/14/24,10/16/24,10/25/24,ACCEPTED
307443,NEW HANOVER,WHITE,UNDESIGNATED,M,39,WILMINGTON,NC,28401.0,DEM,W03,MAIL,DEM,9/20/24,9/24/24,10/15/24,ACCEPTED
81637,CRAVEN,WHITE,UNDESIGNATED,F,19,NEW BERN,NC,28560.0,UNA,GLENBURNIE-GROVER C,MAIL,UNA,10/29/24,10/30/24, ,SPOILED-EV
238299,MECKLENBURG,WHITE,NOT HISPANIC or NOT LATINO,F,24,CHARLOTTE,NC,28209.0,UNA,PCT 019,MAIL,UNA,10/16/24,10/16/24, , 
135484,FORSYTH,UNDESIGNATED,UNDESIGNATED,U,25,WINSTON SALEM,NC,27106.0,UNA,904,MAIL,UNA,10/14/24,10/15/24,10/21/24,ACCEPTED
314045,NEW HANOVER,WHITE,NOT HISPANIC or NOT LATINO,M,20,WILMINGTON,NC,28405.0,UNA,H02,MAIL,UNA,8/9/24,9/24/24,10/18/24,ACCEPTED
375817,UNION,WHITE,NOT HISPANIC or NOT LATINO,F,73,MONROE,NC,28110.0,UNA,017A,MAIL,UNA,10/16/24,10/23/24, ,SPOILED-EV
441138,WAKE,WHITE,NOT HISPANIC or NOT LATINO,M,20,APEX,NC,27502.0,REP,PRECINCT 20-08,MAIL,REP,9/9/24,9/24/24,10/19/24,ACCEPTED
